"RowId","YearStart","YearEnd","LocationAbbr","LocationDesc","Class","Topic","Question","Low_Confidence_Limit","High_Confidence_Limit","Data_Value_Type","Data_Value","Age","Gender","Ethnicity","Geolocation"
"BRFSS~2016~2016~09~Q35~TOC03~AGE~OVERALL",2016,2016,"CT","Connecticut","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.6","6.8","Mean",6.2,"50-64 years","","","POINT (-72.64984095199964 41.56266102000046)"
"BRFSS~2021~2021~49~Q43~TOC11~AGE~GENDER",2021,2021,"UT","Utah","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","32.3","39","Percentage",35.6,"50-64 years","Female","","POINT (-111.58713063499971 39.360700171000474)"
"BRFSS~2020~2020~32~Q43~TOC11~AGE~OVERALL",2020,2020,"NV","Nevada","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","28.7","39.4","Percentage",33.9,"50-64 years","","","POINT (-117.07184056399967 39.493240390000494)"
"BRFSS~2020~2020~50~Q27~TMC03~AGE~OVERALL",2020,2020,"VT","Vermont","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","18.4","21.5","Percentage",19.9,"","","","POINT (-72.51764079099962 43.62538123900049)"
"BRFSS~2021~2021~06~Q43~TOC11~AGE~OVERALL",2021,2021,"CA","California","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","33.8","38.4","Percentage",36.1,"","","","POINT (-120.99999953799971 37.63864012300047)"
"BRFSS~2021~2021~18~Q03~TMC01~AGE~GENDER",2021,2021,"IN","Indiana","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","7","10.2","Percentage",8.5,"65 years or older","Female","","POINT (-86.14996019399968 39.766910452000445)"
"BRFSS~2020~2020~9003~Q27~TMC03~AGE~RACE",2020,2020,"SOU","South","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","8.6","22.2","Percentage",14.1,"50-64 years","","Asian/Pacific Islander",""
"BRFSS~2020~2020~72~Q43~TOC11~AGE~GENDER",2020,2020,"PR","Puerto Rico","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","26.4","42.1","Percentage",33.8,"65 years or older","Male","","POINT (-66.590149 18.220833)"
"BRFSS~2017~2017~16~Q43~TOC11~AGE~OVERALL",2017,2017,"ID","Idaho","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","39.7","44.3","Percentage",42,"","","","POINT (-114.3637300419997 43.682630005000476)"
"BRFSS~2021~2021~53~Q43~TOC11~AGE~RACE",2021,2021,"WA","Washington","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","22.8","33.8","Percentage",28,"","","Hispanic","POINT (-120.47001078999972 47.52227862900048)"
"BRFSS~2020~2020~39~Q43~TOC11~AGE~GENDER",2020,2020,"OH","Ohio","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","37.8","43.5","Percentage",40.6,"50-64 years","Female","","POINT (-82.40426005599966 40.06021014100048)"
"BRFSS~2020~2020~56~Q43~TOC11~AGE~RACE",2020,2020,"WY","Wyoming","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","26.2","56.1","Percentage",40.3,"50-64 years","","Hispanic","POINT (-108.10983035299967 43.23554134300048)"
"BRFSS~2015~2015~66~Q43~TOC11~AGE~GENDER",2015,2015,"GU","Guam","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","20.5","37.8","Percentage",28.4,"50-64 years","Female","","POINT (144.793731 13.444304)"
"BRFSS~2015~2015~9002~Q43~TOC11~AGE~RACE",2015,2015,"MDW","Midwest","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","41.2","47","Percentage",44.1,"","","Black, non-Hispanic",""
"BRFSS~2016~2016~12~Q27~TMC03~AGE~OVERALL",2016,2016,"FL","Florida","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","16.2","19.4","Percentage",17.7,"50-64 years","","","POINT (-81.92896053899966 28.932040377000476)"
"BRFSS~2015~2015~16~Q27~TMC03~AGE~GENDER",2015,2015,"ID","Idaho","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","12.7","19.9","Percentage",16,"50-64 years","Male","","POINT (-114.3637300419997 43.682630005000476)"
"BRFSS~2015~2015~18~Q43~TOC11~AGE~OVERALL",2015,2015,"IN","Indiana","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","43.7","47.8","Percentage",45.7,"","","","POINT (-86.14996019399968 39.766910452000445)"
"BRFSS~2019~2019~23~Q27~TMC03~AGE~GENDER",2019,2019,"ME","Maine","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","27.3","33.1","Percentage",30.1,"50-64 years","Female","","POINT (-68.98503133599962 45.254228894000505)"
"BRFSS~2021~2021~10~Q03~TMC01~AGE~GENDER",2021,2021,"DE","Delaware","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","10.3","14.8","Percentage",12.4,"","Female","","POINT (-75.57774116799965 39.008830667000495)"
"BRFSS~2019~2019~26~Q27~TMC03~AGE~GENDER",2019,2019,"MI","Michigan","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","12.9","18.2","Percentage",15.4,"50-64 years","Male","","POINT (-84.71439026999968 44.6613195430005)"
"BRFSS~2020~2020~08~Q03~TMC01~AGE~OVERALL",2020,2020,"CO","Colorado","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","10.1","12.8","Percentage",11.3,"50-64 years","","","POINT (-106.13361092099967 38.843840757000464)"
"BRFSS~2017~2017~9002~Q03~TMC01~AGE~RACE",2017,2017,"MDW","Midwest","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","12.6","26","Percentage",18.3,"50-64 years","","Native Am/Alaskan Native",""
"BRFSS~2021~2021~9004~Q35~TOC03~AGE~RACE",2021,2021,"WEST","West","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.3","6.3","Mean",5.8,"50-64 years","","White, non-Hispanic",""
"BRFSS~2021~2021~66~Q43~TOC11~AGE~GENDER",2021,2021,"GU","Guam","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","15.3","37.6","Percentage",24.8,"50-64 years","Female","","POINT (144.793731 13.444304)"
"BRFSS~2020~2020~9004~Q08~TOC01~AGE~GENDER",2020,2020,"WEST","West","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","3.8","4.9","Mean",4.3,"50-64 years","Female","",""
"BRFSS~2017~2017~66~Q43~TOC11~AGE~RACE",2017,2017,"GU","Guam","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","23.7","34.8","Percentage",28.9,"","","Asian/Pacific Islander","POINT (144.793731 13.444304)"
"BRFSS~2020~2020~9004~Q03~TMC01~AGE~RACE",2020,2020,"WEST","West","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","7","9.5","Percentage",8.2,"65 years or older","","White, non-Hispanic",""
"BRFSS~2020~2020~29~Q34~TOC09~AGE~GENDER",2020,2020,"MO","Missouri","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","70.8","76.3","Percentage",73.6,"65 years or older","Female","","POINT (-92.56630005299968 38.635790776000476)"
"BRFSS~2016~2016~20~Q34~TOC09~AGE~GENDER",2016,2016,"KS","Kansas","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","65.3","70.2","Percentage",67.8,"50-64 years","Female","","POINT (-98.20078122699965 38.34774030000045)"
"BRFSS~2019~2019~24~Q01~TNC01~AGE~OVERALL",2019,2019,"MD","Maryland","Nutrition/Physical Activity/Obesity","Eating 2 or more fruits daily","Percentage of older adults who are eating 2 or more fruits daily","36","40.1","Percentage",38,"50-64 years","","","POINT (-76.60926011099963 39.29058096400047)"
"BRFSS~2020~2020~55~Q43~TOC11~AGE~OVERALL",2020,2020,"WI","Wisconsin","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","30.2","36.8","Percentage",33.4,"50-64 years","","","POINT (-89.81637074199966 44.39319117400049)"
"BRFSS~2020~2020~9004~Q13~TNC04~AGE~GENDER",2020,2020,"WEST","West","Nutrition/Physical Activity/Obesity","Obesity","Percentage of older adults who are currently obese, with a body mass index (BMI) of 30 or more","31.3","37.2","Percentage",34.2,"50-64 years","Male","",""
"BRFSS~2020~2020~12~Q27~TMC03~AGE~OVERALL",2020,2020,"FL","Florida","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","11","14.3","Percentage",12.6,"65 years or older","","","POINT (-81.92896053899966 28.932040377000476)"
"BRFSS~2015~2015~19~Q43~TOC11~AGE~OVERALL",2015,2015,"IA","Iowa","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","49.7","54.8","Percentage",52.3,"65 years or older","","","POINT (-93.81649055599968 42.46940091300047)"
"BRFSS~2019~2019~19~Q03~TMC01~AGE~OVERALL",2019,2019,"IA","Iowa","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","10","12.8","Percentage",11.3,"50-64 years","","","POINT (-93.81649055599968 42.46940091300047)"
"BRFSS~2015~2015~08~Q43~TOC11~AGE~GENDER",2015,2015,"CO","Colorado","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","26.3","32.1","Percentage",29.1,"50-64 years","Male","","POINT (-106.13361092099967 38.843840757000464)"
"BRFSS~2020~2020~48~Q34~TOC09~AGE~GENDER",2020,2020,"TX","Texas","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","61.4","70.8","Percentage",66.2,"50-64 years","Male","","POINT (-99.42677020599967 31.827240407000488)"
"BRFSS~2020~2020~20~Q27~TMC03~AGE~GENDER",2020,2020,"KS","Kansas","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","9.6","12.6","Percentage",11,"","Male","","POINT (-98.20078122699965 38.34774030000045)"
"BRFSS~2018~2018~10~Q27~TMC03~AGE~OVERALL",2018,2018,"DE","Delaware","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","16.2","21.1","Percentage",18.5,"50-64 years","","","POINT (-75.57774116799965 39.008830667000495)"
"BRFSS~2021~2021~51~Q03~TMC01~AGE~OVERALL",2021,2021,"VA","Virginia","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","9.5","11.9","Percentage",10.7,"","","","POINT (-78.45789046299967 37.54268067400045)"
"BRFSS~2020~2020~20~Q03~TMC01~AGE~GENDER",2020,2020,"KS","Kansas","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","6.7","9.4","Percentage",7.9,"","Male","","POINT (-98.20078122699965 38.34774030000045)"
"BRFSS~2020~2020~9002~Q35~TOC03~AGE~GENDER",2020,2020,"MDW","Midwest","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.9","7.1","Mean",6.5,"50-64 years","Male","",""
"BRFSS~2020~2020~19~Q34~TOC09~AGE~GENDER",2020,2020,"IA","Iowa","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","74.2","79.1","Percentage",76.8,"65 years or older","Female","","POINT (-93.81649055599968 42.46940091300047)"
"BRFSS~2019~2019~66~Q27~TMC03~AGE~GENDER",2019,2019,"GU","Guam","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","6.7","17.7","Percentage",11,"50-64 years","Female","","POINT (144.793731 13.444304)"
"BRFSS~2020~2020~28~Q43~TOC11~AGE~OVERALL",2020,2020,"MS","Mississippi","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","52.5","57.5","Percentage",55,"65 years or older","","","POINT (-89.53803082499968 32.745510099000455)"
"BRFSS~2016~2016~19~Q34~TOC09~AGE~OVERALL",2016,2016,"IA","Iowa","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","78.4","82","Percentage",80.2,"65 years or older","","","POINT (-93.81649055599968 42.46940091300047)"
"BRFSS~2015~2015~21~Q43~TOC11~AGE~OVERALL",2015,2015,"KY","Kentucky","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","48.3","52.4","Percentage",50.4,"","","","POINT (-84.77497104799966 37.645970271000465)"
"BRFSS~2015~2015~22~Q03~TMC01~AGE~GENDER",2015,2015,"LA","Louisiana","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","10.1","17.5","Percentage",13.4,"50-64 years","Male","","POINT (-92.44568007099969 31.31266064400046)"
"BRFSS~2021~2021~50~Q43~TOC11~AGE~RACE",2021,2021,"VT","Vermont","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","43.6","47.8","Percentage",45.7,"","","White, non-Hispanic","POINT (-72.51764079099962 43.62538123900049)"
"BRFSS~2021~2021~9001~Q18~TSC08~AGE~GENDER",2021,2021,"NRE","Northeast","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","49.2","52.5","Percentage",50.9,"50-64 years","Male","",""
"BRFSS~2020~2020~9001~Q43~TOC11~AGE~RACE",2020,2020,"NRE","Northeast","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","30.5","32.9","Percentage",31.7,"50-64 years","","White, non-Hispanic",""
"BRFSS~2021~2021~9004~Q18~TSC08~AGE~GENDER",2021,2021,"WEST","West","Screenings and Vaccines","Influenza vaccine within past year","Percentage of older adults who reported influenza vaccine within the past year","49.5","54.7","Percentage",52.1,"50-64 years","Female","",""
"BRFSS~2020~2020~9004~Q35~TOC03~AGE~OVERALL",2020,2020,"WEST","West","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.7","6.8","Mean",6.3,"","","",""
"BRFSS~2020~2020~32~Q35~TOC03~AGE~GENDER",2020,2020,"NV","Nevada","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","4.8","8.3","Mean",6.6,"","Male","","POINT (-117.07184056399967 39.493240390000494)"
"BRFSS~2016~2016~16~Q27~TMC03~AGE~GENDER",2016,2016,"ID","Idaho","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","7.7","11.7","Percentage",9.5,"","Male","","POINT (-114.3637300419997 43.682630005000476)"
"BRFSS~2017~2017~02~Q27~TMC03~AGE~OVERALL",2017,2017,"AK","Alaska","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","14.9","21.8","Percentage",18.1,"50-64 years","","","POINT (-147.72205903599973 64.84507995700051)"
"BRFSS~2021~2021~53~Q43~TOC11~AGE~OVERALL",2021,2021,"WA","Washington","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","33.2","37.3","Percentage",35.2,"50-64 years","","","POINT (-120.47001078999972 47.52227862900048)"
"BRFSS~2020~2020~34~Q43~TOC11~AGE~GENDER",2020,2020,"NJ","New Jersey","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","26.9","32.3","Percentage",29.5,"50-64 years","Female","","POINT (-74.27369128799967 40.13057004800049)"
"BRFSS~2015~2015~29~Q43~TOC11~AGE~GENDER",2015,2015,"MO","Missouri","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","34.1","42","Percentage",37.9,"50-64 years","Male","","POINT (-92.56630005299968 38.635790776000476)"
"BRFSS~2020~2020~9003~Q43~TOC11~AGE~OVERALL",2020,2020,"SOU","South","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","42.3","43.8","Percentage",43.1,"","","",""
"BRFSS~2018~2018~18~Q03~TMC01~AGE~OVERALL",2018,2018,"IN","Indiana","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","12.8","16.3","Percentage",14.5,"50-64 years","","","POINT (-86.14996019399968 39.766910452000445)"
"BRFSS~2020~2020~56~Q27~TMC03~AGE~GENDER",2020,2020,"WY","Wyoming","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","7.2","13.5","Percentage",9.9,"50-64 years","Male","","POINT (-108.10983035299967 43.23554134300048)"
"BRFSS~2020~2020~48~Q35~TOC03~AGE~GENDER",2020,2020,"TX","Texas","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.2","8.6","Mean",6.9,"50-64 years","Male","","POINT (-99.42677020599967 31.827240407000488)"
"BRFSS~2019~2019~04~Q03~TMC01~AGE~OVERALL",2019,2019,"AZ","Arizona","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","9.5","12.1","Percentage",10.7,"","","","POINT (-111.76381127699972 34.865970280000454)"
"BRFSS~2021~2021~9001~Q35~TOC03~AGE~GENDER",2021,2021,"NRE","Northeast","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.9","6.6","Mean",6.3,"","Male","",""
"BRFSS~2020~2020~9003~Q27~TMC03~AGE~OVERALL",2020,2020,"SOU","South","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","14.3","15.7","Percentage",15,"65 years or older","","",""
"BRFSS~2020~2020~53~Q34~TOC09~AGE~GENDER",2020,2020,"WA","Washington","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","71.5","75.1","Percentage",73.3,"","Female","","POINT (-120.47001078999972 47.52227862900048)"
"BRFSS~2015~2015~66~Q43~TOC11~AGE~OVERALL",2015,2015,"GU","Guam","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","31.8","50.7","Percentage",40.9,"65 years or older","","","POINT (144.793731 13.444304)"
"BRFSS~2020~2020~9004~Q34~TOC09~AGE~OVERALL",2020,2020,"WEST","West","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","65.2","69.4","Percentage",67.3,"50-64 years","","",""
"BRFSS~2019~2019~66~Q35~TOC03~AGE~OVERALL",2019,2019,"GU","Guam","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5","9.4","Mean",7.2,"","","","POINT (144.793731 13.444304)"
"BRFSS~2021~2021~9004~Q27~TMC03~AGE~GENDER",2021,2021,"WEST","West","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","21.1","24.9","Percentage",23,"50-64 years","Female","",""
"BRFSS~2017~2017~17~Q43~TOC11~AGE~GENDER",2017,2017,"IL","Illinois","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","33.4","39.7","Percentage",36.5,"","Male","","POINT (-88.99771017799969 40.48501028300046)"
"BRFSS~2018~2018~04~Q34~TOC09~AGE~GENDER",2018,2018,"AZ","Arizona","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","68.9","74.5","Percentage",71.8,"","Female","","POINT (-111.76381127699972 34.865970280000454)"
"BRFSS~2020~2020~44~Q35~TOC03~AGE~OVERALL",2020,2020,"RI","Rhode Island","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.3","6.8","Mean",6.1,"","","","POINT (-71.52247031399963 41.70828019300046)"
"BRFSS~2020~2020~9004~Q35~TOC03~AGE~GENDER",2020,2020,"WEST","West","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.3","7.3","Mean",6.3,"50-64 years","Male","",""
"BRFSS~2019~2019~01~Q43~TOC11~AGE~OVERALL",2019,2019,"AL","Alabama","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","43.4","48.8","Percentage",46.1,"50-64 years","","","POINT (-86.63186076199969 32.84057112200048)"
"BRFSS~2019~2019~18~Q43~TOC11~AGE~RACE",2019,2019,"IN","Indiana","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","41","60.9","Percentage",51,"65 years or older","","Black, non-Hispanic","POINT (-86.14996019399968 39.766910452000445)"
"BRFSS~2020~2020~59~Q34~TOC09~AGE~GENDER",2020,2020,"US","United States, DC & Territories","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","64.4","66.4","Percentage",65.4,"50-64 years","Male","",""
"BRFSS~2017~2017~16~Q35~TOC03~AGE~GENDER",2017,2017,"ID","Idaho","Overall Health","Recent activity limitations in past month","Mean number of days with activity limitations in the past month","5.6","7.7","Mean",6.7,"","Male","","POINT (-114.3637300419997 43.682630005000476)"
"BRFSS~2020~2020~19~Q34~TOC09~AGE~GENDER",2020,2020,"IA","Iowa","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","67.2","73.1","Percentage",70.2,"50-64 years","Female","","POINT (-93.81649055599968 42.46940091300047)"
"BRFSS~2021~2021~21~Q43~TOC11~AGE~GENDER",2021,2021,"KY","Kentucky","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","38.2","45","Percentage",41.6,"","Male","","POINT (-84.77497104799966 37.645970271000465)"
"BRFSS~2016~2016~23~Q08~TOC01~AGE~OVERALL",2016,2016,"ME","Maine","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","4.4","5.3","Mean",4.9,"65 years or older","","","POINT (-68.98503133599962 45.254228894000505)"
"BRFSS~2016~2016~27~Q03~TMC01~AGE~OVERALL",2016,2016,"MN","Minnesota","Mental Health","Frequent mental distress","Percentage of older adults who are experiencing frequent mental distress","6.4","7.6","Percentage",7,"","","","POINT (-94.79420050299967 46.35564873600049)"
"BRFSS~2021~2021~56~Q27~TMC03~AGE~GENDER",2021,2021,"WY","Wyoming","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","7.3","13.5","Percentage",10,"65 years or older","Male","","POINT (-108.10983035299967 43.23554134300048)"
"BRFSS~2020~2020~9003~Q43~TOC11~AGE~RACE",2020,2020,"SOU","South","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","36.5","49.3","Percentage",42.8,"65 years or older","","Hispanic",""
"BRFSS~2020~2020~9004~Q08~TOC01~AGE~GENDER",2020,2020,"WEST","West","Overall Health","Physically unhealthy days (mean number of days)","Physically unhealthy days (mean number of days in past month)","3.5","4.8","Mean",4.1,"65 years or older","Male","",""
"BRFSS~2017~2017~16~Q43~TOC11~AGE~GENDER",2017,2017,"ID","Idaho","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","43.8","50.2","Percentage",47,"","Female","","POINT (-114.3637300419997 43.682630005000476)"
"BRFSS~2020~2020~9001~Q43~TOC11~AGE~RACE",2020,2020,"NRE","Northeast","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","33.4","39.7","Percentage",36.5,"","","Hispanic",""
"BRFSS~2020~2020~9001~Q21~TAC03~AGE~OVERALL",2020,2020,"NRE","Northeast","Smoking and Alcohol Use","Binge drinking within past 30 days","Percentage of older adults who reported binge drinking within the past 30 days","12.7","14.4","Percentage",13.5,"50-64 years","","",""
"BRFSS~2020~2020~48~Q27~TMC03~AGE~GENDER",2020,2020,"TX","Texas","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","18.3","24","Percentage",21,"","Female","","POINT (-99.42677020599967 31.827240407000488)"
"BRFSS~2020~2020~53~Q43~TOC11~AGE~OVERALL",2020,2020,"WA","Washington","Overall Health","Arthritis among older adults","Percentage of older adults ever told they have arthritis","31.6","35.6","Percentage",33.6,"50-64 years","","","POINT (-120.47001078999972 47.52227862900048)"
"BRFSS~2020~2020~29~Q34~TOC09~AGE~GENDER",2020,2020,"MO","Missouri","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","70.5","75.2","Percentage",72.9,"","Male","","POINT (-92.56630005299968 38.635790776000476)"
"BRFSS~2020~2020~9003~Q05~TOC06~AGE~RACE",2020,2020,"SOU","South","Overall Health","Fall with injury within last year","Percentage of older adults who have fallen and sustained an injury within last year","5.4","10.2","Percentage",7.4,"50-64 years","","Hispanic",""
"BRFSS~2016~2021~9002~Q39~TGC04~AGE~RACE",2016,2021,"MDW","Midwest","Caregiving","Intensity of caregiving among older adults","Average of 20 or more hours of care per week provided to a friend or family member","21.1","60.8","Percentage",39.2,"","","Hispanic",""
"BRFSS~2021~2021~45~Q27~TMC03~AGE~OVERALL",2021,2021,"SC","South Carolina","Mental Health","Lifetime diagnosis of depression","Percentage of older adults with a lifetime diagnosis of depression","13.2","16.1","Percentage",14.6,"65 years or older","","","POINT (-81.04537120699968 33.998821303000454)"
"BRFSS~2016~2016~12~Q34~TOC09~AGE~OVERALL",2016,2016,"FL","Florida","Overall Health","Prevalence of sufficient sleep","Percentage of older adults getting sufficient sleep (>6 hours)","61.7","65.7","Percentage",63.7,"50-64 years","","","POINT (-81.92896053899966 28.932040377000476)"
